rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,fit_seconds,warning_count,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
0.9,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,weak,1.0,0.41963909997139126,0,tree_total_leaves,2520.0,4840.0,,,,2520.0,4.0,,,,,1.0,,0.16666666666666666
0.9,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,strong,0.0,0.4447779000038281,0,tree_total_leaves,3654.0,7058.0,,,,3654.0,5.456,,,,,1.0,,0.5
0.9,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,medium,0.5,0.5419117000419647,0,tree_total_leaves,6367.0,12434.0,,,,6367.0,6.793333333333333,,,,,1.0,,0.8333333333333334
0.9,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,strong,0.0,0.14914360002148896,0,boosting_total_leaves,657.0,1214.0,,,,,,657.0,100.0,,100.0,1.0,,0.16666666666666666
0.9,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,0.5079083000309765,0,boosting_total_leaves,2215.0,4230.0,,,,,,2215.0,200.0,,200.0,1.0,,0.5
0.9,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,0.7298687999718823,0,boosting_total_leaves,3232.0,6164.0,,,,,,3232.0,300.0,,300.0,1.0,,0.8333333333333334
0.9,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,0.2090819000150077,0,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,42.0,1.0,,0.25
0.9,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,0.11961120000341907,0,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,14.0,1.0,,0.5833333333333334
0.9,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,0.24675260001095012,0,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,12.0,1.0,,0.9166666666666666
0.9,1,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,0.00953270000172779,0,effective_degrees_of_freedom,3.330502133812825,6.0,3.330502133812825,,,,,,,,7.0,1.0,,0.16666666666666666
0.9,1,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,0.009562399995047599,0,effective_degrees_of_freedom,4.384435854502751,6.0,4.384435854502751,,,,,,,,10.0,1.0,,0.6666666666666666
0.9,1,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,0.009701900009531528,0,effective_degrees_of_freedom,4.87468360066761,6.0,4.87468360066761,,,,,,,,12.0,1.0,,1.0
