geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
baseline,"[1.2, -1.0, 0.8]",0.0,1,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9355,0.5858954000286758,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9595,0.5918471000040881,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.969,0.858183000003919,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.97325,0.231744599994272,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.96925,1.84924290003255,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.97075,4.312971400038805,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.98925,0.28910620004171506,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.98975,0.2241127000306733,0,
baseline,"[1.2, -1.0, 0.8]",0.0,1,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.99325,1.1787281000288203,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.99425,0.008946400019340217,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.99625,0.009844499989412725,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.99875,0.011025500018149614,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.9925,0.32175600004848093,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.9935,0.21112769999308512,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.981,0.7904131000395864,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9155,0.5320344000356272,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9515,0.683087199984584,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.96075,0.8042384999571368,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9715,0.3515206000301987,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.97225,1.6404135000193492,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.96825,3.7989189000218175,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.9875,0.34476800000993535,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.991,0.3119620000361465,0,
baseline,"[1.2, -1.0, 0.8]",0.5,1,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.99575,0.8998311000177637,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.99575,0.014885500015225261,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.99625,0.01672580000013113,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.998,0.02003110002260655,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.99025,0.1575845000334084,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.98,0.11539580003591254,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.9725,0.5518579999916255,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.8295,0.48579359997529536,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.84625,0.6616622000001371,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.89775,0.7626939000329003,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.90025,0.2016410999931395,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.92025,1.1730214999988675,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.92025,2.5600813000346534,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.953,0.23960259999148548,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.97925,0.20788050000555813,0,
baseline,"[1.2, -1.0, 0.8]",0.9,1,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.97025,0.5026686000055633,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.98975,0.009719999972730875,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.9945,0.01112229999853298,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.99825,0.012864599993918091,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.9895,0.39292099996237084,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.98725,0.23894189996644855,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.975,0.9300631000078283,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9295,0.5441876000259072,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.95875,0.6574919000267982,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.967,0.7654061000212096,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.967,0.19962049997411668,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.97,1.4251129000331275,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.96875,2.9683496999787167,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.9835,0.3366931999917142,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.978,0.232384099974297,0,
baseline,"[1.2, -1.0, 0.8]",0.0,2,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.99375,0.9738272000104189,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.98775,0.009841099963523448,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.9945,0.012342899979557842,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.997,0.015134299988858402,0,
