fit_id,rho_train,dataset_seed,width,schedule,accuracy,ood_gap,rho_ood
rho0_seed09_width512_constant,0.0,9,512,constant,0.9113333333333333,-0.004666666666666708,-0.9
rho0_seed09_width512_constant,0.0,9,512,constant,0.9153333333333333,-0.008666666666666711,-0.6
rho0_seed09_width512_constant,0.0,9,512,constant,0.8916666666666667,0.014999999999999902,-0.3
rho0_seed09_width512_constant,0.0,9,512,constant,0.8973333333333333,0.009333333333333305,0.3
rho0_seed09_width512_cosine,0.0,9,512,cosine,0.9056666666666666,0.003666666666666707,-0.9
rho0_seed09_width512_cosine,0.0,9,512,cosine,0.9126666666666666,-0.0033333333333332993,-0.6
rho0_seed09_width512_cosine,0.0,9,512,cosine,0.893,0.01633333333333331,-0.3
rho0_seed09_width512_cosine,0.0,9,512,cosine,0.906,0.0033333333333332993,0.3
rho0_seed09_width64_constant,0.0,9,64,constant,0.9063333333333333,0.002666666666666706,-0.9
rho0_seed09_width64_constant,0.0,9,64,constant,0.9136666666666666,-0.004666666666666597,-0.6
rho0_seed09_width64_constant,0.0,9,64,constant,0.8933333333333333,0.015666666666666718,-0.3
rho0_seed09_width64_constant,0.0,9,64,constant,0.9073333333333333,0.0016666666666667052,0.3
rho0_seed09_width64_cosine,0.0,9,64,cosine,0.9086666666666666,0.0023333333333334094,-0.9
rho0_seed09_width64_cosine,0.0,9,64,cosine,0.9163333333333333,-0.005333333333333301,-0.6
rho0_seed09_width64_cosine,0.0,9,64,cosine,0.8946666666666667,0.01633333333333331,-0.3
rho0_seed09_width64_cosine,0.0,9,64,cosine,0.9063333333333333,0.004666666666666708,0.3
rho0_seed09_width8_constant,0.0,9,8,constant,0.9033333333333333,0.007000000000000006,-0.9
rho0_seed09_width8_constant,0.0,9,8,constant,0.9143333333333333,-0.0040000000000000036,-0.6
rho0_seed09_width8_constant,0.0,9,8,constant,0.8926666666666667,0.01766666666666661,-0.3
rho0_seed09_width8_constant,0.0,9,8,constant,0.9126666666666666,-0.0023333333333332984,0.3
rho0_seed09_width8_cosine,0.0,9,8,cosine,0.906,0.006666666666666599,-0.9
rho0_seed09_width8_cosine,0.0,9,8,cosine,0.9173333333333333,-0.004666666666666708,-0.6
rho0_seed09_width8_cosine,0.0,9,8,cosine,0.8936666666666667,0.018999999999999906,-0.3
rho0_seed09_width8_cosine,0.0,9,8,cosine,0.9123333333333333,0.0003333333333332966,0.3
rho0_seed10_width512_constant,0.0,10,512,constant,0.9126666666666666,-0.007333333333333303,-0.9
rho0_seed10_width512_constant,0.0,10,512,constant,0.9116666666666666,-0.006333333333333302,-0.6
rho0_seed10_width512_constant,0.0,10,512,constant,0.9103333333333333,-0.0050000000000000044,-0.3
rho0_seed10_width512_constant,0.0,10,512,constant,0.9033333333333333,0.0020000000000000018,0.3
rho0_seed10_width512_cosine,0.0,10,512,cosine,0.9153333333333333,-0.005333333333333301,-0.9
rho0_seed10_width512_cosine,0.0,10,512,cosine,0.9096666666666666,0.00033333333333340764,-0.6
rho0_seed10_width512_cosine,0.0,10,512,cosine,0.9136666666666666,-0.003666666666666596,-0.3
rho0_seed10_width512_cosine,0.0,10,512,cosine,0.9076666666666666,0.0023333333333334094,0.3
rho0_seed10_width64_constant,0.0,10,64,constant,0.9163333333333333,-0.008333333333333304,-0.9
rho0_seed10_width64_constant,0.0,10,64,constant,0.9123333333333333,-0.0043333333333333,-0.6
rho0_seed10_width64_constant,0.0,10,64,constant,0.9096666666666666,-0.0016666666666665941,-0.3
rho0_seed10_width64_constant,0.0,10,64,constant,0.9083333333333333,-0.0003333333333332966,0.3
rho0_seed10_width64_cosine,0.0,10,64,cosine,0.9203333333333333,-0.01200000000000001,-0.9
rho0_seed10_width64_cosine,0.0,10,64,cosine,0.9153333333333333,-0.007000000000000006,-0.6
rho0_seed10_width64_cosine,0.0,10,64,cosine,0.913,-0.004666666666666708,-0.3
rho0_seed10_width64_cosine,0.0,10,64,cosine,0.9103333333333333,-0.0020000000000000018,0.3
rho0_seed10_width8_constant,0.0,10,8,constant,0.9126666666666666,-0.0033333333333332993,-0.9
rho0_seed10_width8_constant,0.0,10,8,constant,0.9096666666666666,-0.0003333333333332966,-0.6
rho0_seed10_width8_constant,0.0,10,8,constant,0.9126666666666666,-0.0033333333333332993,-0.3
rho0_seed10_width8_constant,0.0,10,8,constant,0.9146666666666666,-0.005333333333333301,0.3
rho0_seed10_width8_cosine,0.0,10,8,cosine,0.9156666666666666,-0.005666666666666598,-0.9
rho0_seed10_width8_cosine,0.0,10,8,cosine,0.912,-0.0020000000000000018,-0.6
rho0_seed10_width8_cosine,0.0,10,8,cosine,0.9133333333333333,-0.0033333333333332993,-0.3
rho0_seed10_width8_cosine,0.0,10,8,cosine,0.9136666666666666,-0.003666666666666596,0.3
rho0_seed11_width512_constant,0.0,11,512,constant,0.901,0.0003333333333332966,-0.9
rho0_seed11_width512_constant,0.0,11,512,constant,0.905,-0.003666666666666707,-0.6
rho0_seed11_width512_constant,0.0,11,512,constant,0.891,0.010333333333333306,-0.3
rho0_seed11_width512_constant,0.0,11,512,constant,0.912,-0.010666666666666713,0.3
rho0_seed11_width512_cosine,0.0,11,512,cosine,0.909,-0.0020000000000000018,-0.9
rho0_seed11_width512_cosine,0.0,11,512,cosine,0.9096666666666666,-0.002666666666666595,-0.6
rho0_seed11_width512_cosine,0.0,11,512,cosine,0.8963333333333333,0.010666666666666713,-0.3
rho0_seed11_width512_cosine,0.0,11,512,cosine,0.9186666666666666,-0.011666666666666603,0.3
rho0_seed11_width64_constant,0.0,11,64,constant,0.908,0.0003333333333332966,-0.9
rho0_seed11_width64_constant,0.0,11,64,constant,0.9096666666666666,-0.0013333333333332975,-0.6
rho0_seed11_width64_constant,0.0,11,64,constant,0.8986666666666666,0.009666666666666712,-0.3
rho0_seed11_width64_constant,0.0,11,64,constant,0.9173333333333333,-0.009000000000000008,0.3
rho0_seed11_width64_cosine,0.0,11,64,cosine,0.9106666666666666,-0.002666666666666595,-0.9
rho0_seed11_width64_cosine,0.0,11,64,cosine,0.9113333333333333,-0.0033333333333332993,-0.6
rho0_seed11_width64_cosine,0.0,11,64,cosine,0.901,0.007000000000000006,-0.3
rho0_seed11_width64_cosine,0.0,11,64,cosine,0.9173333333333333,-0.009333333333333305,0.3
rho0_seed11_width8_constant,0.0,11,8,constant,0.9093333333333333,-0.0033333333333332993,-0.9
rho0_seed11_width8_constant,0.0,11,8,constant,0.911,-0.0050000000000000044,-0.6
rho0_seed11_width8_constant,0.0,11,8,constant,0.9023333333333333,0.003666666666666707,-0.3
rho0_seed11_width8_constant,0.0,11,8,constant,0.922,-0.016000000000000014,0.3
rho0_seed11_width8_cosine,0.0,11,8,cosine,0.911,-0.004666666666666708,-0.9
rho0_seed11_width8_cosine,0.0,11,8,cosine,0.911,-0.004666666666666708,-0.6
rho0_seed11_width8_cosine,0.0,11,8,cosine,0.9043333333333333,0.0020000000000000018,-0.3
rho0_seed11_width8_cosine,0.0,11,8,cosine,0.922,-0.015666666666666718,0.3
rho0_seed12_width512_constant,0.0,12,512,constant,0.9056666666666666,-0.002666666666666595,-0.9
