fit_id,fidelity_min,fidelity_drop_from_20,fidelity_recovery,sat,trajectory_class_recomputed
rho0p7_seed09_width64_constant,0.9835,0.006000000000000005,0.0,inf,No-acquisition / no-distortion
rho0p7_seed09_width64_cosine,0.98625,0.003250000000000086,0.0015000000000000568,inf,No-acquisition / no-distortion
rho0p7_seed09_width8_constant,0.985,0.0,0.007500000000000062,inf,No-acquisition / no-distortion
rho0p7_seed09_width8_cosine,0.985,0.0,0.006000000000000005,inf,No-acquisition / no-distortion
rho0p7_seed10_width512_constant,0.9715,0.0044999999999999485,0.00649999999999995,inf,No-acquisition / no-distortion
rho0p7_seed10_width512_cosine,0.976,0.0,0.01100000000000001,inf,No-acquisition / no-distortion
rho0p7_seed10_width64_constant,0.98125,0.004250000000000087,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0p7_seed10_width64_cosine,0.9835,0.0022499999999999742,0.00374999999999992,inf,No-acquisition / no-distortion
rho0p7_seed10_width8_constant,0.98475,0.0,0.007249999999999979,inf,No-acquisition / no-distortion
rho0p7_seed10_width8_cosine,0.9845,0.0,0.005249999999999977,inf,No-acquisition / no-distortion
rho0p7_seed11_width512_constant,0.94525,0.02024999999999999,0.021499999999999964,inf,No-acquisition / no-distortion
rho0p7_seed11_width512_cosine,0.96075,0.004750000000000032,0.012249999999999983,inf,No-acquisition / no-distortion
rho0p7_seed11_width64_constant,0.966,0.015249999999999986,0.004249999999999976,inf,No-acquisition / no-distortion
rho0p7_seed11_width64_cosine,0.96925,0.01200000000000001,0.0040000000000000036,inf,No-acquisition / no-distortion
rho0p7_seed11_width8_constant,0.9785,0.011749999999999927,0.0024999999999999467,inf,No-acquisition / no-distortion
rho0p7_seed11_width8_cosine,0.9835,0.006749999999999923,0.0,inf,No-acquisition / no-distortion
rho0p7_seed12_width512_constant,0.97625,0.013500000000000068,0.00825000000000009,inf,No-acquisition / no-distortion
rho0p7_seed12_width512_cosine,0.9785,0.01100000000000001,0.011249999999999982,inf,No-acquisition / no-distortion
rho0p7_seed12_width64_constant,0.98625,0.004250000000000087,0.007500000000000062,inf,No-acquisition / no-distortion
rho0p7_seed12_width64_cosine,0.9905,0.0,0.0020000000000000018,inf,No-acquisition / no-distortion
rho0p7_seed12_width8_constant,0.989,0.0,0.003249999999999975,inf,No-acquisition / no-distortion
rho0p7_seed12_width8_cosine,0.989,0.0,0.0045000000000000595,inf,No-acquisition / no-distortion
rho0p7_seed13_width512_constant,0.956,0.018500000000000072,0.0,inf,No-acquisition / no-distortion
rho0p7_seed13_width512_cosine,0.97375,0.0007500000000000284,0.004750000000000032,inf,No-acquisition / no-distortion
rho0p7_seed13_width64_constant,0.98075,0.0034999999999999476,0.0030000000000000027,inf,No-acquisition / no-distortion
rho0p7_seed13_width64_cosine,0.98125,0.00275000000000003,0.0040000000000000036,inf,No-acquisition / no-distortion
rho0p7_seed13_width8_constant,0.98525,0.0045000000000000595,0.0012500000000000844,inf,No-acquisition / no-distortion
rho0p7_seed13_width8_cosine,0.98575,0.0040000000000000036,0.0014999999999999458,inf,No-acquisition / no-distortion
rho0p7_seed14_width512_constant,0.962,0.016000000000000014,0.0,inf,No-acquisition / no-distortion
rho0p7_seed14_width512_cosine,0.9635,0.01474999999999993,0.007000000000000006,inf,No-acquisition / no-distortion
rho0p7_seed14_width64_constant,0.9835,0.005499999999999949,0.0004999999999999449,inf,No-acquisition / no-distortion
rho0p7_seed14_width64_cosine,0.986,0.0030000000000000027,0.000500000000000056,inf,No-acquisition / no-distortion
rho0p7_seed14_width8_constant,0.98925,0.0007500000000000284,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0p7_seed14_width8_cosine,0.98975,0.0,0.005750000000000033,inf,No-acquisition / no-distortion
rho0p7_seed15_width512_constant,0.971,0.022500000000000075,0.00824999999999998,inf,No-acquisition / no-distortion
rho0p7_seed15_width512_cosine,0.9795,0.013749999999999929,0.0022499999999999742,inf,No-acquisition / no-distortion
rho0p7_seed15_width64_constant,0.98475,0.0017500000000000293,0.0024999999999999467,inf,No-acquisition / no-distortion
rho0p7_seed15_width64_cosine,0.9845,0.0020000000000000018,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0p7_seed15_width8_constant,0.98925,0.0012500000000000844,0.003750000000000031,inf,No-acquisition / no-distortion
rho0p7_seed15_width8_cosine,0.98975,0.0007500000000000284,0.0022499999999999742,inf,No-acquisition / no-distortion
rho0p7_seed16_width512_constant,0.97075,0.010249999999999981,0.0004999999999999449,inf,No-acquisition / no-distortion
