fit_id,rho_train,dataset_seed,width,schedule,checkpoint,d3,fidelity,iid_accuracy,learning_rate,train_loss
rho0_seed12_width64_cosine,0.0,12,64,cosine,40,0.021666666666666667,0.98875,0.901,0.009173690746364798,0.1924208755866912
rho0_seed12_width64_cosine,0.0,12,64,cosine,60,0.021666666666666667,0.9865,0.9026666666666666,0.008185102697299853,0.1907254081976239
rho0_seed12_width64_cosine,0.0,12,64,cosine,80,0.022,0.988,0.9046666666666666,0.006931051913076572,0.18879272310887504
rho0_seed12_width64_cosine,0.0,12,64,cosine,100,0.024,0.988,0.9033333333333333,0.005535520151093711,0.18833644529293073
rho0_seed12_width64_cosine,0.0,12,64,cosine,120,0.022,0.98875,0.9033333333333333,0.004136476688619072,0.1872221278412845
rho0_seed12_width64_cosine,0.0,12,64,cosine,140,0.025666666666666667,0.9875,0.9023333333333333,0.0028722379872641217,0.1868515708839576
rho0_seed12_width64_cosine,0.0,12,64,cosine,160,0.024,0.98875,0.9036666666666666,0.0018677930330710667,0.18644199392403388
rho0_seed12_width64_cosine,0.0,12,64,cosine,180,0.022333333333333334,0.9885,0.9043333333333333,0.0012224462977549774,0.18621312449107502
rho0_seed12_width64_cosine,0.0,12,64,cosine,200,0.023333333333333334,0.99,0.904,0.001,0.1860748124273039
rho0_seed12_width8_constant,0.0,12,8,constant,20,0.012,0.9905,0.9056666666666666,0.01,0.19654170744677404
rho0_seed12_width8_constant,0.0,12,8,constant,40,0.014333333333333333,0.9915,0.906,0.01,0.19622965507928694
rho0_seed12_width8_constant,0.0,12,8,constant,60,0.014333333333333333,0.994,0.9056666666666666,0.01,0.19571283056849384
rho0_seed12_width8_constant,0.0,12,8,constant,80,0.012,0.98975,0.9056666666666666,0.01,0.19547960521953772
rho0_seed12_width8_constant,0.0,12,8,constant,100,0.01633333333333333,0.993,0.9073333333333333,0.01,0.19560920202964036
rho0_seed12_width8_constant,0.0,12,8,constant,120,0.01633333333333333,0.9895,0.906,0.01,0.19520514124110372
rho0_seed12_width8_constant,0.0,12,8,constant,140,0.017333333333333333,0.99375,0.9053333333333333,0.01,0.1955996564848911
rho0_seed12_width8_constant,0.0,12,8,constant,160,0.016,0.99425,0.9053333333333333,0.01,0.19579278036272785
rho0_seed12_width8_constant,0.0,12,8,constant,180,0.015333333333333332,0.98525,0.9066666666666666,0.01,0.19537893272276746
rho0_seed12_width8_constant,0.0,12,8,constant,200,0.016666666666666666,0.99425,0.906,0.01,0.1952020938504765
rho0_seed12_width8_cosine,0.0,12,8,cosine,20,0.011666666666666667,0.991,0.9056666666666666,0.009799079281818376,0.19654077398321101
rho0_seed12_width8_cosine,0.0,12,8,cosine,40,0.013666666666666667,0.9915,0.9063333333333333,0.009173690746364798,0.1962054857278845
rho0_seed12_width8_cosine,0.0,12,8,cosine,60,0.015,0.99475,0.905,0.008185102697299853,0.1956451461870745
rho0_seed12_width8_cosine,0.0,12,8,cosine,80,0.013666666666666667,0.991,0.9056666666666666,0.006931051913076572,0.1954419931633579
rho0_seed12_width8_cosine,0.0,12,8,cosine,100,0.016,0.9945,0.9053333333333333,0.005535520151093711,0.1953075326675988
rho0_seed12_width8_cosine,0.0,12,8,cosine,120,0.01633333333333333,0.9915,0.905,0.004136476688619072,0.19521191487514467
rho0_seed12_width8_cosine,0.0,12,8,cosine,140,0.017666666666666667,0.99275,0.905,0.0028722379872641217,0.1951966465700307
rho0_seed12_width8_cosine,0.0,12,8,cosine,160,0.017666666666666667,0.993,0.9056666666666666,0.0018677930330710667,0.19516542569187437
rho0_seed12_width8_cosine,0.0,12,8,cosine,180,0.017333333333333333,0.99225,0.9053333333333333,0.0012224462977549774,0.19516115993154196
rho0_seed12_width8_cosine,0.0,12,8,cosine,200,0.016666666666666666,0.992,0.905,0.001,0.1951588363116849
rho0_seed13_width512_constant,0.0,13,512,constant,20,0.031,0.9835,0.8986666666666666,0.01,0.20567382172459125
rho0_seed13_width512_constant,0.0,13,512,constant,40,0.027,0.982,0.9013333333333333,0.01,0.19442970946493446
rho0_seed13_width512_constant,0.0,13,512,constant,60,0.03,0.97625,0.8983333333333333,0.01,0.19318295890615658
