rho_train,seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0.5,3,gradient_boosting,all_features,0.9215,0.9293333333333333,0.8503333333333334,0.8146666666666667,0.07899999999999996,0.8195,-0.07804651162790695,0.04849999999999999
0.5,3,mlp,all_features,0.9325,0.9293333333333333,0.8545333333333334,0.8043333333333333,0.07479999999999998,0.8138333333333334,-0.0906046511627904,0.049000000000000044
0.5,3,logistic_regression,stable_only,0.9095,0.914,0.9113333333333333,0.905,0.002666666666666706,0.9156666666666666,0.0040620155038760975,0.0
0.5,3,rbf_svm,stable_only,0.9095,0.9093333333333333,0.9107333333333333,0.9023333333333333,-0.0013999999999999568,0.9156666666666666,0.00713953488372093,0.0
0.5,3,random_forest,stable_only,0.91,0.9083333333333333,0.9038666666666666,0.894,0.00446666666666673,0.9085,0.004410852713178591,0.0
0.5,3,gradient_boosting,stable_only,0.906,0.9053333333333333,0.8990666666666666,0.8926666666666667,0.006266666666666754,0.9023333333333333,0.002178294573643585,0.0
0.5,3,mlp,stable_only,0.906,0.9126666666666666,0.9107333333333333,0.9036666666666666,0.0019333333333333425,0.9156666666666666,0.004682170542635894,0.0
0.5,4,logistic_regression,all_features,0.9415,0.9283333333333333,0.8665333333333333,0.8126666666666666,0.06180000000000008,0.8235,-0.08958139534883702,0.04300000000000004
0.5,4,rbf_svm,all_features,0.938,0.9273333333333333,0.8549333333333333,0.7923333333333333,0.07240000000000002,0.8061666666666667,-0.10337209302325567,0.04949999999999999
0.5,4,random_forest,all_features,0.935,0.9193333333333333,0.8473333333333333,0.773,0.07200000000000006,0.7949999999999999,-0.10890697674418603,0.05600000000000005
0.5,4,gradient_boosting,all_features,0.931,0.9183333333333333,0.8506,0.784,0.06773333333333331,0.8029999999999999,-0.09980620155038761,0.0535000000000001
0.5,4,mlp,all_features,0.9415,0.9266666666666666,0.8596,0.8036666666666666,0.06706666666666661,0.8140000000000001,-0.09607751937984475,0.044499999999999984
0.5,4,logistic_regression,stable_only,0.919,0.9036666666666666,0.9157333333333334,0.9036666666666666,-0.012066666666666781,0.913,0.0013565891472869594,0.0
0.5,4,rbf_svm,stable_only,0.9195,0.906,0.9148666666666667,0.906,-0.00886666666666669,0.9136666666666666,0.0008449612403100477,0.0
0.5,4,random_forest,stable_only,0.9155,0.897,0.9090000000000001,0.897,-0.012000000000000122,0.9071666666666667,0.0017441860465116678,0.0
0.5,4,gradient_boosting,stable_only,0.9105,0.8976666666666666,0.9036666666666665,0.8976666666666666,-0.005999999999999894,0.9019999999999999,-0.0008372093023253241,0.0
0.5,4,mlp,stable_only,0.92,0.9056666666666666,0.915,0.9056666666666666,-0.009333333333333416,0.911,-0.0005426356589145749,0.0
0.7,0,logistic_regression,all_features,0.9525,0.9583333333333334,0.7849999999999999,0.6743333333333333,0.17333333333333345,0.6988333333333334,-0.17875641025640987,0.11199999999999999
0.7,0,rbf_svm,all_features,0.9525,0.9576666666666667,0.7752000000000001,0.6596666666666666,0.18246666666666655,0.6865,-0.18672435897435855,0.12450000000000006
0.7,0,random_forest,all_features,0.9475,0.9486666666666667,0.7316,0.5766666666666667,0.21706666666666663,0.6225,-0.22770512820512775,0.15549999999999997
0.7,0,gradient_boosting,all_features,0.94,0.9443333333333334,0.7563333333333333,0.6346666666666667,0.18800000000000006,0.6623333333333333,-0.19619230769230717,0.14049999999999996
0.7,0,mlp,all_features,0.9525,0.9526666666666667,0.7345333333333333,0.5866666666666667,0.2181333333333334,0.6253333333333333,-0.22700641025640983,0.15549999999999997
0.7,0,logistic_regression,stable_only,0.908,0.913,0.9121333333333335,0.9093333333333333,0.0008666666666665712,0.9145,0.001833333333333549,0.0
0.7,0,rbf_svm,stable_only,0.906,0.9136666666666666,0.9108666666666666,0.906,0.0028000000000000247,0.9136666666666666,0.0008461538461540567,0.0
0.7,0,random_forest,stable_only,0.8955,0.91,0.9032666666666668,0.896,0.006733333333333258,0.9056666666666666,-0.0020256410256407737,0.0
0.7,0,gradient_boosting,stable_only,0.888,0.904,0.8994666666666665,0.8926666666666667,0.0045333333333335,0.899,-0.003102564102563656,0.0
0.7,0,mlp,stable_only,0.9085,0.9096666666666666,0.9084666666666668,0.9023333333333333,0.0011999999999998678,0.9099999999999999,0.0007500000000001791,0.0
0.7,1,logistic_regression,all_features,0.9495,0.9466666666666667,0.7862666666666668,0.6773333333333333,0.16039999999999988,0.7125,-0.16365384615384576,0.13949999999999996
0.7,1,rbf_svm,all_features,0.946,0.9463333333333334,0.7644,0.644,0.1819333333333334,0.681,-0.1852564102564099,0.1429999999999999
0.7,1,random_forest,all_features,0.943,0.9386666666666666,0.7178666666666668,0.547,0.22079999999999989,0.6096666666666667,-0.23209615384615334,0.16199999999999992
0.7,1,gradient_boosting,all_features,0.943,0.94,0.7546,0.629,0.1853999999999999,0.6705,-0.18946153846153815,0.14649999999999996
0.7,1,mlp,all_features,0.9495,0.9456666666666667,0.7621333333333333,0.6343333333333333,0.18353333333333333,0.6736666666666666,-0.19012179487179456,0.14949999999999997
0.7,1,logistic_regression,stable_only,0.8985,0.908,0.9111333333333332,0.9076666666666666,-0.0031333333333332103,0.9126666666666667,0.002198717948718329,0.0
0.7,1,rbf_svm,stable_only,0.894,0.9036666666666666,0.9096666666666666,0.9036666666666666,-0.006000000000000005,0.9105,0.0021923076923080816,0.0
