seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss,rho_train,rho_val
4,logistic_regression,all_features,0.3,0.9273333333333333,0.9273093128481062,0.18017034324269798,0.5,0.5
4,logistic_regression,all_features,0.0,0.8956666666666667,0.895675283595065,0.23350254872816717,0.5,0.5
4,logistic_regression,all_features,-0.3,0.8626666666666667,0.862705009111516,0.30297047232476915,0.5,0.5
4,logistic_regression,all_features,-0.6,0.8343333333333334,0.8345855787734395,0.34528021501537676,0.5,0.5
4,logistic_regression,all_features,-0.9,0.8126666666666666,0.8126951333129457,0.4078908403512526,0.5,0.5
4,rbf_svm,all_features,0.5,0.9273333333333333,0.9271093146033111,0.17195227642256994,0.5,0.5
4,rbf_svm,all_features,0.3,0.9236666666666666,0.9236173027537216,0.19131906859256442,0.5,0.5
4,rbf_svm,all_features,0.0,0.8903333333333333,0.8903387229321883,0.25623958496350546,0.5,0.5
4,rbf_svm,all_features,-0.3,0.8483333333333334,0.8483777056758078,0.3379246228204599,0.5,0.5
4,rbf_svm,all_features,-0.6,0.82,0.8202167624854472,0.38121241898666813,0.5,0.5
4,rbf_svm,all_features,-0.9,0.7923333333333333,0.792398601796471,0.4686276737108487,0.5,0.5
4,random_forest,all_features,0.5,0.9193333333333333,0.9189437938650131,0.1906786892120017,0.5,0.5
4,random_forest,all_features,0.3,0.9193333333333333,0.9192582628319863,0.20971513431751912,0.5,0.5
4,random_forest,all_features,0.0,0.8846666666666667,0.8846610437293968,0.2735747926130657,0.5,0.5
4,random_forest,all_features,-0.3,0.8426666666666667,0.8427707898128806,0.34993866071145613,0.5,0.5
4,random_forest,all_features,-0.6,0.817,0.8172021716256386,0.3913505220454698,0.5,0.5
4,random_forest,all_features,-0.9,0.773,0.7731412996323137,0.49048167849510294,0.5,0.5
4,gradient_boosting,all_features,0.5,0.9183333333333333,0.9179176359893519,0.20236791404132076,0.5,0.5
4,gradient_boosting,all_features,0.3,0.917,0.9169936965681316,0.2185140689565712,0.5,0.5
4,gradient_boosting,all_features,0.0,0.8823333333333333,0.8823634381370973,0.30802371489579405,0.5,0.5
4,gradient_boosting,all_features,-0.3,0.8476666666666667,0.8477154540201788,0.41041639362206356,0.5,0.5
4,gradient_boosting,all_features,-0.6,0.822,0.8222638303774207,0.46984903717558374,0.5,0.5
4,gradient_boosting,all_features,-0.9,0.784,0.7840963238484022,0.570736052481436,0.5,0.5
4,mlp,all_features,0.5,0.9266666666666666,0.9260461097056056,0.17059491098962873,0.5,0.5
4,mlp,all_features,0.3,0.9253333333333333,0.9252770953074452,0.18801352109080044,0.5,0.5
4,mlp,all_features,0.0,0.891,0.8909867370444957,0.24522116395477403,0.5,0.5
4,mlp,all_features,-0.3,0.8536666666666667,0.8537246099826659,0.31497780401280967,0.5,0.5
4,mlp,all_features,-0.6,0.8243333333333334,0.8246022887152549,0.36002171882200357,0.5,0.5
4,mlp,all_features,-0.9,0.8036666666666666,0.8037118889971481,0.42193071615831224,0.5,0.5
4,logistic_regression,stable_only,0.5,0.9036666666666666,0.9030131280362936,0.20490060130641258,0.5,0.5
4,logistic_regression,stable_only,0.3,0.9153333333333333,0.9152093917799691,0.19164013189799117,0.5,0.5
4,logistic_regression,stable_only,0.0,0.9253333333333333,0.925362819012503,0.1805952219126278,0.5,0.5
4,logistic_regression,stable_only,-0.3,0.912,0.9120316458509268,0.19814543629440834,0.5,0.5
