rho_train,replicate,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,iid_accuracy,iid_balanced_accuracy,iid_roc_auc,iid_brier_score,iid_log_loss,average_ood_accuracy,worst_ood_accuracy,ood_gap,n_ood_environments,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.9,6,random_forest,all_features,0.9935,0.9935058960943375,0.9997429958879341,0.00617559139887755,0.02619864183504238,0.9943333333333333,0.9943604004449388,0.9996418242491657,0.006206579382539683,0.02636799743380228,0.41,0.052,0.5843333333333334,5,0.0985,0.11222917460317461,0.47994945246426013,0.0,0.0018365523809523812,0.000531007332207234,0.0985,0.11039262222222222,0.9935,0.904,0.08950000000000002,0.9322916666666672
0.9,6,rbf_svm,all_features,0.994,0.9939999039984639,0.9998159970559529,0.004218758711330436,0.015528791833008081,0.9953333333333333,0.9953058954393771,0.9998700778642937,0.00377573373666556,0.014228013643000435,0.5581333333333334,0.2723333333333333,0.4371999999999999,5,0.0895,0.09485224516946497,0.47994945246426013,0.0015,0.0016948502280347696,0.000531007332207234,0.088,0.0931573949414302,0.994,0.9085,0.08550000000000002,0.9344262295081966
0.9,7,gradient_boosting,all_features,0.9885,0.9885163463538749,0.9996089436878912,0.009457952777968522,0.03750169073365842,0.9926666666666667,0.9926760217736529,0.9992455511077994,0.006156206737405598,0.029793721478755624,0.4556000000000001,0.103,0.5370666666666666,5,0.099,0.09998029389684941,0.47046705517793375,0.003,0.002406864133495837,0.0005640883361243132,0.096,0.09757342976335358,0.9885,0.8995,0.08900000000000008,0.8855721393034831
0.9,7,logistic_regression,all_features,0.9915,0.9915167784160919,0.9996839544894465,0.006971155617847063,0.024521830836931324,0.9956666666666667,0.995682702892069,0.9998844097159858,0.003764514645099273,0.016174385565616012,0.5647333333333334,0.28,0.4309333333333333,5,0.0875,0.09981712884868332,0.47046705517793375,0.0,0.00013257342928485805,0.0005640883361243132,0.0875,0.09968455541939847,0.9915,0.909,0.08250000000000002,0.906593406593407
0.9,7,mlp,all_features,0.986,0.9860339888944007,0.9992828967371301,0.0264920605112296,0.14177009171147928,0.9913333333333333,0.9912960516137292,0.999743923063107,0.025181309357161452,0.13964882676246282,0.6210666666666667,0.39,0.37026666666666663,5,0.088,0.10449164907012777,0.47046705517793375,0.0035,0.010218431787699125,0.0005640883361243132,0.08449999999999999,0.09427321728242864,0.986,0.9055,0.08050000000000002,0.8518518518518517
0.9,7,random_forest,all_features,0.988,0.9879982717511322,0.9994549215086972,0.009280790102087428,0.03548593570221776,0.9916666666666667,0.9916583826963123,0.9996141062825987,0.007018858433167045,0.02993069079440002,0.4129333333333333,0.06366666666666666,0.5787333333333333,5,0.1045,0.11418916984126984,0.47046705517793375,0.001,0.002531919047619048,0.0005640883361243132,0.1035,0.1116572507936508,0.988,0.901,0.08699999999999997,0.8787878787878787
0.9,7,rbf_svm,all_features,0.991,0.9909987038133492,0.9996589508889281,0.006996024255829768,0.024365583076122743,0.9963333333333333,0.9963380108868265,0.9997932712228207,0.003926264429733096,0.016091666222790353,0.5618000000000001,0.278,0.4345333333333332,5,0.0885,0.0944664649359365,0.47046705517793375,0.002,0.002433364240705082,0.0005640883361243132,0.0865,0.0920331006952314,0.991,0.9095,0.08150000000000002,0.9005524861878452
0.9,8,gradient_boosting,all_features,0.9885,0.9885112647209422,0.9989899353558628,0.009673195590793871,0.052121250325100676,0.9933333333333333,0.9933197030979155,0.999678207920352,0.006164303110681826,0.03230527740130881,0.4566666666666667,0.11533333333333333,0.5366666666666666,5,0.0945,0.09719338933383048,0.48451646400319925,0.0025,0.0023108590654210663,0.00017043864519217244,0.092,0.09488253026840941,0.9885,0.9005,0.08800000000000008,0.8844221105527643
0.9,8,logistic_regression,all_features,0.9915,0.9915114567332309,0.9996539778545827,0.006476441153275239,0.024509680284091544,0.9946666666666667,0.9946664296190941,0.9998471043157473,0.004200596254794237,0.016941096598182277,0.5644,0.29233333333333333,0.4302666666666667,5,0.093,0.1022629015714981,0.48451646400319925,0.0005,0.0016131944864127697,0.00017043864519217244,0.0925,0.10064970708508533,0.9915,0.9095,0.08200000000000007,0.9060773480662989
0.9,8,mlp,all_features,0.9875,0.9875112007168458,0.9991349446364568,0.03122047281304208,0.158435603233954,0.987,0.9869794213076136,0.9994630872483221,0.02875475694759045,0.15139721133704143,0.6220666666666668,0.394,0.3649333333333332,5,0.095,0.09886639182677827,0.48451646400319925,0.006,0.011809775894333284,0.00017043864519217244,0.089,0.08705661593244499,0.9875,0.9085,0.07900000000000007,0.863387978142077
0.9,8,random_forest,all_features,0.9855,0.9855270737327189,0.999137444796467,0.010069347988392239,0.039116755589620654,0.994,0.9939908440375128,0.9995619805324681,0.005922520526897652,0.027281838079860347,0.41559999999999997,0.07233333333333333,0.5784,5,0.101,0.11089393326118327,0.48451646400319925,0.0,0.002304157142857143,0.00017043864519217244,0.101,0.10858977611832613,0.9855,0.905,0.08050000000000002,0.847368421052632
0.9,8,rbf_svm,all_features,0.992,0.9920154889912954,0.9993019553251408,0.006894538326146327,0.027966007215390627,0.9946666666666667,0.9946619849771101,0.9998088803946843,0.00399915714662228,0.01589129872345767,0.557,0.2806666666666667,0.43766666666666665,5,0.0925,0.09921619530419092,0.48451646400319925,0.001,0.0022334353326064,0.00017043864519217244,0.0915,0.09698275997158451,0.992,0.9055,0.08650000000000002,0.9153439153439153
0.9,9,gradient_boosting,all_features,0.993,0.9930759523692771,0.9997308037559381,0.006144470295368283,0.024980421531570422,0.992,0.992006848986254,0.9996479493047,0.006562221822685399,0.030094837291146963,0.44880000000000003,0.088,0.5431999999999999,5,0.083,0.08861164105900915,0.468083670991399,0.001,0.0014180256407575794,0.0010336083211166525,0.082,0.08719361541825157,0.993,0.901,0.09199999999999997,0.9292929292929292
0.9,9,logistic_regression,all_features,0.9955,0.9955372466528098,0.9998639007836713,0.003850925966658324,0.015970879648985237,0.994,0.9939911347234002,0.999725293775637,0.004486064358665594,0.018811178144685296,0.5546,0.25633333333333336,0.4394,5,0.0795,0.09649845169626521,0.468083670991399,0.0,0.00013357404320360906,0.0010336083211166525,0.0795,0.0963648776530616,0.9955,0.919,0.07650000000000001,0.9444444444444451
0.9,9,mlp,all_features,0.993,0.9930489326719179,0.9997898467983161,0.007075714583409129,0.041829033239027535,0.9943333333333333,0.9943285166397294,0.9996906221162515,0.007450133306477454,0.04340601816102937,0.5980666666666666,0.3283333333333333,0.39626666666666666,5,0.0825,0.1050271507558789,0.468083670991399,0.002,0.003980231895834579,0.0010336083211166525,0.0805,0.10104691886004433,0.993,0.9145,0.07850000000000001,0.9181286549707601
0.9,9,random_forest,all_features,0.992,0.9920752228374485,0.9995876994328866,0.006855879119338624,0.027659747573358977,0.9913333333333333,0.9913240840014296,0.999587496155002,0.007218461093528177,0.029167460746262322,0.41133333333333344,0.051333333333333335,0.5799999999999998,5,0.088,0.10508654047619047,0.468083670991399,0.0,0.0016624150793650798,0.0010336083211166525,0.088,0.10342412539682538,0.992,0.909,0.08299999999999996,0.912087912087912
0.9,9,rbf_svm,all_features,0.9945,0.9945635368183405,0.9998689044313305,0.003937880811924086,0.014255622187367702,0.994,0.9939911347234002,0.9996826209640856,0.004468840948560659,0.01831319197395203,0.5584666666666667,0.263,0.43553333333333333,5,0.083,0.08990414662802576,0.468083670991399,0.001,0.0017308467152332726,0.0010336083211166525,0.082,0.08817329991279249,0.9945,0.9155,0.07900000000000007,0.934911242603551
0.9,10,gradient_boosting,all_features,0.99,0.99000900090009,0.9993839383938394,0.008601809086584911,0.04187992550249987,0.991,0.9909122197893674,0.9987655880087725,0.007333565867001205,0.04130973835220295,0.4406666666666667,0.09266666666666666,0.5503333333333333,5,0.108,0.10956453369331277,0.4819159824285979,0.0015,0.0022781548913713722,0.00013354187055714117,0.1065,0.1072863788019414,0.99,0.904,0.08599999999999997,0.8958333333333333
0.9,10,logistic_regression,all_features,0.9935,0.9934843484348435,0.9997959795979597,0.005409901319883266,0.02055625836054969,0.9933333333333333,0.9933299063874595,0.9997025138248807,0.005343473500638714,0.021123117320931754,0.543,0.24533333333333332,0.45033333333333325,5,0.0935,0.10743280891965282,0.4819159824285979,0.0,0.00032346657205256743,0.00013354187055714117,0.0935,0.10710934234760025,0.9935,0.9095,0.08400000000000007,0.928176795580111
0.9,10,mlp,all_features,0.994,0.993989398939894,0.9997909790979098,0.005252352497729973,0.019837446899314815,0.9923333333333333,0.992321832906151,0.9996816141982281,0.005415767615169662,0.020955780520514233,0.5822,0.31766666666666665,0.41013333333333324,5,0.093,0.10205983881707249,0.4819159824285979,0.0,0.0016186527834624455,0.00013354187055714117,0.093,0.10044118603361005,0.994,0.9055,0.08850000000000002,0.9365079365079365
0.9,10,random_forest,all_features,0.987,0.986998699869987,0.9991584158415842,0.009629023414977326,0.03650154914277466,0.9873333333333333,0.9872361088630426,0.9988205051128491,0.00913052759708563,0.04580107917888293,0.4022,0.05633333333333333,0.5851333333333333,5,0.1065,0.11992233903318904,0.4819159824285979,0.0005,0.0018107317460317467,0.00013354187055714117,0.106,0.11811160728715729,0.987,0.904,0.08299999999999996,0.8645833333333331
0.9,10,rbf_svm,all_features,0.993,0.992999299929993,0.9996249624962497,0.00577228696115403,0.022791501200548993,0.9933333333333333,0.9932845497508942,0.9994361547532865,0.0055433763256381476,0.023375602714471328,0.5446000000000001,0.251,0.4487333333333332,5,0.099,0.10482588293870239,0.4819159824285979,0.0005,0.003216705228287119,0.00013354187055714117,0.0985,0.10160917771041526,0.993,0.907,0.08599999999999997,0.9247311827956989
0.9,11,gradient_boosting,all_features,0.9915,0.9915274577572966,0.9996039746543779,0.00785310293687625,0.03522714284594532,0.994,0.9940086226054492,0.9996555402462332,0.004650064271477092,0.022419094074241593,0.44493333333333335,0.08833333333333333,0.5490666666666666,5,0.1045,0.10477802363976951,0.4720045163132932,0.002,0.0022559438063878804,0.0008733807194556409,0.1025,0.10252207983338163,0.9915,0.8855,0.1060000000000001,0.9257641921397385
0.9,11,logistic_regression,all_features,0.994,0.9940316180235536,0.9998309891833077,0.004866324961669027,0.018945582852184308,0.996,0.9959953775723365,0.9999035512689453,0.003565787333499214,0.014848970131240298,0.5611999999999999,0.2663333333333333,0.4348000000000001,5,0.0915,0.1042228887319147,0.4720045163132932,0.0005,0.0007226377218036132,0.0008733807194556409,0.091,0.10350025101011108,0.994,0.9055,0.08850000000000002,0.9365079365079365
0.9,11,mlp,all_features,0.994,0.9940236175115207,0.9998079877112135,0.008450360418862587,0.04944658457665727,0.9963333333333333,0.9963265034001512,0.9999102182319214,0.0069668901828433254,0.04519336703230405,0.5578000000000001,0.26466666666666666,0.4385333333333332,5,0.0935,0.1196899118580857,0.4720045163132932,0.0005,0.0036388792500300134,0.0008733807194556409,0.093,0.11605103260805569,0.994,0.904,0.08999999999999997,0.9374999999999999
