rho_train,model,rho_environment,metric,mean,ci_lower,ci_upper,n_replicates
0.7,mlp,0.0,accuracy,0.9117666666666666,0.9091333333333333,0.9146666666666666,10
0.7,mlp,0.3,accuracy,0.9084333333333333,0.9060658333333332,0.9108333333333334,10
0.7,mlp,0.7,accuracy,0.9130666666666667,0.9095333333333333,0.9165675000000002,10
0.7,random_forest,-0.9,accuracy,0.9052333333333336,0.9029333333333334,0.9076333333333334,10
0.7,random_forest,-0.6,accuracy,0.9020333333333334,0.8983333333333334,0.9053333333333333,10
0.7,random_forest,-0.3,accuracy,0.9017666666666665,0.8983000000000001,0.9052333333333333,10
0.7,random_forest,0.0,accuracy,0.9040666666666667,0.9017999999999999,0.9071666666666667,10
0.7,random_forest,0.3,accuracy,0.9021000000000001,0.8993324999999999,0.9049666666666667,10
0.7,random_forest,0.7,accuracy,0.9052666666666667,0.9015333333333334,0.909,10
0.7,rbf_svm,-0.9,accuracy,0.9116,0.9091333333333333,0.9143000000000001,10
0.7,rbf_svm,-0.6,accuracy,0.9102333333333334,0.9065333333333333,0.9138333333333334,10
0.7,rbf_svm,-0.3,accuracy,0.9093333333333333,0.9058999999999999,0.9121,10
0.7,rbf_svm,0.0,accuracy,0.9108666666666668,0.9084666666666668,0.9134666666666668,10
0.7,rbf_svm,0.3,accuracy,0.9082333333333334,0.9054,0.9111999999999998,10
0.7,rbf_svm,0.7,accuracy,0.9135,0.9101333333333332,0.9167,10
0.9,gradient_boosting,-0.9,accuracy,0.9015333333333334,0.8992000000000001,0.9037666666666666,20
0.9,gradient_boosting,-0.6,accuracy,0.8986833333333333,0.8965500000000001,0.9006166666666667,20
0.9,gradient_boosting,-0.3,accuracy,0.9003333333333334,0.8976166666666667,0.902983333333333,20
0.9,gradient_boosting,0.0,accuracy,0.9009499999999999,0.8993,0.9027833333333334,20
0.9,gradient_boosting,0.3,accuracy,0.9007999999999999,0.8984333333333332,0.9032,20
0.9,gradient_boosting,0.9,accuracy,0.8997666666666666,0.8972000000000001,0.9024666666666665,20
0.9,logistic_regression,-0.9,accuracy,0.9129333333333334,0.9108666666666666,0.9149504166666668,20
0.9,logistic_regression,-0.6,accuracy,0.9103166666666667,0.9081166666666665,0.9125170833333335,20
0.9,logistic_regression,-0.3,accuracy,0.9115833333333334,0.9091333333333335,0.9136666666666666,20
0.9,logistic_regression,0.0,accuracy,0.9131500000000001,0.9115666666666667,0.9147666666666667,20
0.9,logistic_regression,0.3,accuracy,0.9120333333333333,0.9098833333333335,0.9141666666666668,20
0.9,logistic_regression,0.9,accuracy,0.91295,0.9106833333333333,0.9151,20
0.9,mlp,-0.9,accuracy,0.9116499999999998,0.9091833333333333,0.9140999999999998,20
0.9,mlp,-0.6,accuracy,0.9091166666666666,0.9064500000000002,0.9117004166666667,20
0.9,mlp,-0.3,accuracy,0.9095666666666666,0.9069166666666668,0.9118999999999999,20
0.9,mlp,0.0,accuracy,0.9125833333333333,0.9106166666666666,0.9145333333333335,20
0.9,mlp,0.3,accuracy,0.91055,0.9081666666666666,0.9130666666666668,20
0.9,mlp,0.9,accuracy,0.91235,0.9100999999999999,0.9147166666666665,20
0.9,random_forest,-0.9,accuracy,0.9042666666666666,0.9019333333333333,0.9065833333333334,20
0.9,random_forest,-0.6,accuracy,0.9018333333333333,0.89985,0.9037499999999999,20
0.9,random_forest,-0.3,accuracy,0.9020166666666667,0.8992500000000001,0.9047333333333334,20
0.9,random_forest,0.0,accuracy,0.9041833333333333,0.9029,0.9057833333333332,20
0.9,random_forest,0.3,accuracy,0.9033833333333334,0.9013333333333333,0.9054499999999999,20
0.9,random_forest,0.9,accuracy,0.9036499999999998,0.9015500000000001,0.9058670833333333,20
0.9,rbf_svm,-0.9,accuracy,0.9117000000000001,0.9096829166666667,0.91375,20
0.9,rbf_svm,-0.6,accuracy,0.9099166666666667,0.9078333333333335,0.9119166666666667,20
0.9,rbf_svm,-0.3,accuracy,0.9101833333333333,0.90785,0.9122166666666667,20
0.9,rbf_svm,0.0,accuracy,0.9125333333333334,0.9108166666666666,0.9142333333333333,20
0.9,rbf_svm,0.3,accuracy,0.9106500000000001,0.90845,0.9128837500000001,20
0.9,rbf_svm,0.9,accuracy,0.9119333333333334,0.9096499999999998,0.9141670833333334,20
