rho_train,replicate,model,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise
0.7,9,logistic_regression,0.0005,0.001011261807697383,0.0010336083211166525
0.7,9,rbf_svm,0.0065,0.007334340928047741,0.0010336083211166525
0.7,9,random_forest,0.005,0.008291911904761905,0.0010336083211166525
0.7,9,gradient_boosting,0.01,0.010577023588442853,0.0010336083211166525
0.7,9,mlp,0.0085,0.005922900896039202,0.0010336083211166525
0.9,0,logistic_regression,0.0,0.0004441185104853748,0.0003001166577384362
0.9,0,rbf_svm,0.0005,0.0024853927500385555,0.0003001166577384362
0.9,0,random_forest,0.0005,0.002161769841269842,0.0003001166577384362
0.9,0,gradient_boosting,0.001,0.0012907137443177446,0.0003001166577384362
0.9,0,mlp,0.001,0.0019454679063288106,0.0003001166577384362
0.9,1,logistic_regression,0.001,0.001638401045582558,0.00014568650008595085
0.9,1,rbf_svm,0.002,0.00275797793448921,0.00014568650008595085
0.9,1,random_forest,0.0,0.0024386404761904783,0.00014568650008595085
0.9,1,gradient_boosting,0.0045,0.004809938330117313,0.00014568650008595085
0.9,1,mlp,0.0015,0.0027737185642252886,0.00014568650008595085
0.9,2,logistic_regression,0.001,0.001337321313068611,0.0010306740088690258
0.9,2,rbf_svm,0.002,0.002013403418252278,0.0010306740088690258
0.9,2,random_forest,0.0,0.0020713642857142864,0.0010306740088690258
0.9,2,gradient_boosting,0.0005,0.0014493231594115323,0.0010306740088690258
0.9,2,mlp,0.0015,0.0017061851476035002,0.0010306740088690258
0.9,3,logistic_regression,0.0,5.251112879196019e-06,0.00038766512038701517
0.9,3,rbf_svm,0.001,0.001970738617251308,0.00038766512038701517
0.9,3,random_forest,0.001,0.0021405714285714283,0.00038766512038701517
0.9,3,gradient_boosting,0.0025,0.002371310299446771,0.00038766512038701517
0.9,3,mlp,0.0015,0.007566441372915206,0.00038766512038701517
0.9,4,logistic_regression,0.0005,0.0012387247048069184,0.0007554864096686043
0.9,4,rbf_svm,0.0,0.0017703094647095474,0.0007554864096686043
0.9,4,random_forest,0.0005,0.0019407809523809532,0.0007554864096686043
0.9,4,gradient_boosting,0.002,0.0011752751836254765,0.0007554864096686043
0.9,4,mlp,0.0005,0.003421994230932824,0.0007554864096686043
0.9,5,logistic_regression,0.0,0.000967677216291648,2.89178048383798e-05
0.9,5,rbf_svm,0.001,0.002880695533541573,2.89178048383798e-05
0.9,5,random_forest,0.0,0.002013392063492064,2.89178048383798e-05
0.9,5,gradient_boosting,0.004,0.0028044330246531435,2.89178048383798e-05
0.9,5,mlp,0.001,0.002846715714004894,2.89178048383798e-05
