rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.5,3,random_forest,0.9155,0.897,0.01849999999999996,0.17961165048543654
0.5,3,gradient_boosting,0.9175,0.894,0.023499999999999965,0.22169811320754687
0.5,3,mlp,0.926,0.906,0.020000000000000018,0.21276595744680876
0.5,4,logistic_regression,0.934,0.9195,0.014500000000000068,0.18012422360248528
0.5,4,rbf_svm,0.93,0.92,0.010000000000000009,0.12500000000000017
0.5,4,random_forest,0.928,0.9145,0.013500000000000068,0.157894736842106
0.5,4,gradient_boosting,0.924,0.916,0.008000000000000007,0.09523809523809536
0.5,4,mlp,0.931,0.9225,0.008500000000000063,0.1096774193548395
0.5,5,logistic_regression,0.925,0.9085,0.01650000000000007,0.18032786885245974
0.5,5,rbf_svm,0.9205,0.911,0.009499999999999953,0.10674157303370738
0.5,5,random_forest,0.909,0.8935,0.01550000000000007,0.145539906103287
0.5,5,gradient_boosting,0.906,0.892,0.014000000000000012,0.12962962962962976
0.5,5,mlp,0.925,0.9125,0.012500000000000067,0.14285714285714357
0.5,6,logistic_regression,0.9305,0.9095,0.02100000000000002,0.23204419889502775
0.5,6,rbf_svm,0.928,0.9085,0.019500000000000073,0.2131147540983614
0.5,6,random_forest,0.923,0.904,0.019000000000000017,0.1979166666666669
0.5,6,gradient_boosting,0.9185,0.9,0.01849999999999996,0.18499999999999964
0.5,6,mlp,0.9275,0.91,0.01749999999999996,0.19444444444444406
0.5,7,logistic_regression,0.9305,0.909,0.021499999999999964,0.23626373626373595
0.5,7,rbf_svm,0.9295,0.9095,0.020000000000000018,0.22099447513812168
0.5,7,random_forest,0.9195,0.901,0.01849999999999996,0.18686868686868652
0.5,7,gradient_boosting,0.9205,0.8995,0.02100000000000002,0.20895522388059712
0.5,7,mlp,0.931,0.9055,0.025500000000000078,0.2698412698412706
0.5,8,logistic_regression,0.9205,0.9095,0.01100000000000001,0.12154696132596693
0.5,8,rbf_svm,0.914,0.9055,0.008500000000000063,0.08994708994709058
0.5,8,random_forest,0.905,0.905,0.0,0.0
0.5,8,gradient_boosting,0.901,0.9005,0.000500000000000056,0.005025125628141264
0.5,8,mlp,0.92,0.9085,0.011500000000000066,0.1256830601092903
0.5,9,logistic_regression,0.933,0.919,0.014000000000000012,0.17283950617283975
0.5,9,rbf_svm,0.9325,0.9155,0.017000000000000015,0.20118343195266286
0.5,9,random_forest,0.924,0.909,0.015000000000000013,0.16483516483516503
0.5,9,gradient_boosting,0.921,0.901,0.020000000000000018,0.20202020202020224
0.5,9,mlp,0.934,0.9145,0.019500000000000073,0.22807017543859728
0.7,0,logistic_regression,0.952,0.9105,0.04149999999999998,0.4636871508379885
0.7,0,rbf_svm,0.952,0.906,0.04599999999999993,0.48936170212765895
0.7,0,random_forest,0.9495,0.9075,0.04200000000000004,0.4540540540540543
0.7,0,gradient_boosting,0.9465,0.8975,0.049000000000000044,0.47804878048780514
0.7,0,mlp,0.9535,0.9045,0.049000000000000044,0.5130890052356024
0.7,1,logistic_regression,0.9545,0.9175,0.03700000000000003,0.44848484848484876
0.7,1,rbf_svm,0.953,0.922,0.030999999999999917,0.3974358974358966
0.7,1,random_forest,0.9485,0.9085,0.040000000000000036,0.43715846994535545
0.7,1,gradient_boosting,0.9455,0.909,0.03649999999999998,0.40109890109890095
0.7,1,mlp,0.956,0.919,0.03699999999999992,0.4567901234567894
0.7,2,logistic_regression,0.949,0.9025,0.046499999999999986,0.4769230769230766
0.7,2,rbf_svm,0.95,0.898,0.051999999999999935,0.509803921568627
