rho_train,replicate,model,d2_original_accuracy,d2_conditional_permuted_accuracy,d2_conditional_permutation_drop,d4_n_consistent,d4_n_contradictory,d4_accuracy_consistent,d4_accuracy_contradictory,d4_accuracy_gap,d6_measure,d6_value,d6_split_count,d6_note
0.0,9,logistic_regression,0.918,0.917,0.0010000000000000009,985,1015,0.917766497461929,0.9182266009852217,-0.00046010352329273196,normalized_absolute_standardized_coefficient,0.007887265689046307,,Within-model normalized coefficient; not cross-family comparable.
0.0,9,rbf_svm,0.9075,0.914,-0.006500000000000061,985,1015,0.8984771573604061,0.916256157635468,-0.01777900027506185,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.0,9,random_forest,0.9095,0.908,0.0014999999999999458,985,1015,0.9096446700507614,0.90935960591133,0.0002850641394314124,impurity_importance_fraction,0.04582418116080663,14279.0,Native impurity importance and split count; audit only.
0.0,9,gradient_boosting,0.904,0.901,0.0030000000000000027,985,1015,0.899492385786802,0.9083743842364532,-0.008881998449651207,private_histgb_gain_fraction,0.03963776705532507,926.0,Audit based on sklearn private tree nodes; version-sensitive.
0.0,9,mlp,0.9165,0.91,0.00649999999999995,985,1015,0.9147208121827411,0.9182266009852217,-0.003505788802480536,normalized_first_layer_absolute_weight,0.1890958479708274,,First-layer weight audit; not a causal or cross-family importance.
0.5,0,logistic_regression,0.927,0.8935,0.033500000000000085,1444,556,0.9605263157894737,0.8399280575539568,0.12059825823551684,normalized_absolute_standardized_coefficient,0.11144844091861678,,Within-model normalized coefficient; not cross-family comparable.
0.5,0,rbf_svm,0.925,0.8815,0.043500000000000094,1444,556,0.9570637119113573,0.841726618705036,0.11533709320632135,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,0,random_forest,0.9205,0.881,0.03949999999999998,1444,556,0.9584487534626038,0.8219424460431655,0.13650630741943837,impurity_importance_fraction,0.1995413073165059,14288.0,Native impurity importance and split count; audit only.
0.5,0,gradient_boosting,0.9225,0.886,0.03649999999999998,1444,556,0.9529085872576177,0.8435251798561151,0.10938340740150265,private_histgb_gain_fraction,0.15047978258356864,1051.0,Audit based on sklearn private tree nodes; version-sensitive.
0.5,0,mlp,0.927,0.887,0.040000000000000036,1444,556,0.9605263157894737,0.8399280575539568,0.12059825823551684,normalized_first_layer_absolute_weight,0.19154484385333873,,First-layer weight audit; not a causal or cross-family importance.
0.5,1,logistic_regression,0.929,0.904,0.025000000000000022,1446,554,0.9585062240663901,0.851985559566787,0.10652066449960307,normalized_absolute_standardized_coefficient,0.10736772768156577,,Within-model normalized coefficient; not cross-family comparable.
0.5,1,rbf_svm,0.9285,0.904,0.024499999999999966,1446,554,0.9598893499308437,0.8465703971119134,0.11331895281893034,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.5,1,random_forest,0.918,0.8805,0.03750000000000009,1446,554,0.9529737206085753,0.8267148014440433,0.12625891916453202,impurity_importance_fraction,0.2005513087269224,14625.0,Native impurity importance and split count; audit only.
