rho_train,replicate,metric,model,score,rank,is_best
0.7,0,iid_test,gradient_boosting,0.949,4.0,False
0.7,0,iid_test,logistic_regression,0.9586666666666667,1.5,True
0.7,0,iid_test,mlp,0.9586666666666667,1.5,True
0.7,0,iid_test,random_forest,0.948,5.0,False
0.7,0,iid_test,rbf_svm,0.957,3.0,False
0.7,1,iid_test,gradient_boosting,0.9426666666666667,5.0,False
0.7,1,iid_test,logistic_regression,0.9536666666666667,1.0,True
0.7,1,iid_test,mlp,0.95,3.0,False
0.7,1,iid_test,random_forest,0.944,4.0,False
0.7,1,iid_test,rbf_svm,0.9523333333333334,2.0,False
0.7,2,iid_test,gradient_boosting,0.946,4.5,False
0.7,2,iid_test,logistic_regression,0.9596666666666667,2.0,False
0.7,2,iid_test,mlp,0.96,1.0,True
0.7,2,iid_test,random_forest,0.946,4.5,False
0.7,2,iid_test,rbf_svm,0.9563333333333334,3.0,False
0.7,3,iid_test,gradient_boosting,0.944,5.0,False
0.7,3,iid_test,logistic_regression,0.954,1.0,True
0.7,3,iid_test,mlp,0.9523333333333334,2.0,False
0.7,3,iid_test,random_forest,0.945,4.0,False
0.7,3,iid_test,rbf_svm,0.9513333333333334,3.0,False
0.7,4,iid_test,gradient_boosting,0.9463333333333334,5.0,False
0.7,4,iid_test,logistic_regression,0.953,3.0,False
0.7,4,iid_test,mlp,0.956,1.0,True
0.7,4,iid_test,random_forest,0.9496666666666667,4.0,False
0.7,4,iid_test,rbf_svm,0.9546666666666667,2.0,False
0.7,5,iid_test,gradient_boosting,0.9456666666666667,4.0,False
0.7,5,iid_test,logistic_regression,0.9506666666666667,2.0,False
0.7,5,iid_test,mlp,0.9463333333333334,3.0,False
0.7,5,iid_test,random_forest,0.9453333333333334,5.0,False
0.7,5,iid_test,rbf_svm,0.9513333333333334,1.0,True
0.7,6,iid_test,gradient_boosting,0.9513333333333334,3.5,False
0.7,6,iid_test,logistic_regression,0.9543333333333334,2.0,False
0.7,6,iid_test,mlp,0.9513333333333334,3.5,False
0.7,6,iid_test,random_forest,0.948,5.0,False
0.7,6,iid_test,rbf_svm,0.9546666666666667,1.0,True
0.7,7,iid_test,gradient_boosting,0.95,4.0,False
0.7,7,iid_test,logistic_regression,0.957,1.0,True
