rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.7,4,random_forest,0.0895,0.10515625180375182,0.2999936169456514,0.0025,0.010052494444444447,0.0007554864096686043,0.087,0.09510375735930737
0.7,4,gradient_boosting,0.0835,0.08553495959090673,0.2999936169456514,0.011,0.010647975691081113,0.0007554864096686043,0.07250000000000001,0.07488698389982562
0.7,4,mlp,0.071,0.08319340567652944,0.2999936169456514,0.007,0.009455376469440432,0.0007554864096686043,0.06399999999999999,0.07373802920708901
0.7,5,logistic_regression,0.0755,0.07561574785926602,0.2888339083192418,0.0015,0.001640724225558252,2.89178048383798e-05,0.074,0.07397502363370777
0.7,5,rbf_svm,0.0775,0.07727622878069923,0.2888339083192418,0.005,0.009428233792228777,2.89178048383798e-05,0.0725,0.06784799498847045
0.7,5,random_forest,0.0935,0.10004085375180376,0.2888339083192418,0.0075,0.009270746464646467,2.89178048383798e-05,0.086,0.09077010728715729
0.7,5,gradient_boosting,0.0825,0.08576610433663243,0.2888339083192418,0.015,0.015173670206758003,2.89178048383798e-05,0.0675,0.07059243412987443
0.7,5,mlp,0.0855,0.09323561882098201,0.2888339083192418,0.004,0.00876866986150887,2.89178048383798e-05,0.0815,0.08446694895947314
0.7,6,logistic_regression,0.0735,0.0770093002051014,0.2919184562805339,0.004,0.0021448214458289626,0.000531007332207234,0.06949999999999999,0.07486447875927243
0.7,6,rbf_svm,0.0775,0.07722540292237472,0.2919184562805339,0.0045,0.00816952118401327,0.000531007332207234,0.073,0.06905588173836144
0.7,6,random_forest,0.092,0.09962536558441558,0.2919184562805339,0.002,0.008824069047619046,0.000531007332207234,0.09,0.09080129653679653
0.7,6,gradient_boosting,0.084,0.08580170396791888,0.2919184562805339,0.0065,0.010115165348060486,0.000531007332207234,0.0775,0.07568653861985838
0.7,6,mlp,0.086,0.09539485022532453,0.2919184562805339,0.003,0.008458259031636104,0.000531007332207234,0.08299999999999999,0.08693659119368842
0.7,7,logistic_regression,0.074,0.07513493487689703,0.27257392394589797,0.003,0.003940233514056603,0.0005640883361243132,0.071,0.07119470136284042
0.7,7,rbf_svm,0.075,0.07685724911794752,0.27257392394589797,0.0025,0.008070323970191168,0.0005640883361243132,0.0725,0.06878692514775635
0.7,7,random_forest,0.0865,0.0967325940836941,0.27257392394589797,0.006,0.009854698340548338,0.0005640883361243132,0.08049999999999999,0.08687789574314576
0.7,7,gradient_boosting,0.081,0.08044363986242781,0.27257392394589797,0.006,0.010913529726138056,0.0005640883361243132,0.075,0.06953011013628975
0.7,7,mlp,0.09,0.0913985044244607,0.27257392394589797,0.009,0.010049509619449854,0.0005640883361243132,0.081,0.08134899480501084
0.7,8,logistic_regression,0.0745,0.07249768264305541,0.2941566225267024,0.0005,0.0014581324532469211,0.00017043864519217244,0.074,0.07103955018980848
0.7,8,rbf_svm,0.077,0.07663624698923266,0.2941566225267024,0.0075,0.010141802535170837,0.00017043864519217244,0.0695,0.06649444445406183
0.7,8,random_forest,0.0875,0.09595687936507936,0.2941566225267024,0.0085,0.00988400873015873,0.00017043864519217244,0.07899999999999999,0.08607287063492064
0.7,8,gradient_boosting,0.0745,0.07715809285032134,0.2941566225267024,0.0145,0.014910568812052208,0.00017043864519217244,0.06,0.06224752403826913
0.7,8,mlp,0.068,0.07077821988027798,0.2941566225267024,0.001,0.005159499214812802,0.00017043864519217244,0.067,0.06561872066546517
0.7,9,logistic_regression,0.067,0.07611672471543582,0.27865519774331315,0.0005,0.001011261807697383,0.0010336083211166525,0.0665,0.07510546290773844
0.7,9,rbf_svm,0.073,0.07861964701685681,0.27865519774331315,0.0065,0.007334340928047741,0.0010336083211166525,0.06649999999999999,0.07128530608880906
0.7,9,random_forest,0.086,0.09888649603174603,0.27865519774331315,0.005,0.008291911904761905,0.0010336083211166525,0.08099999999999999,0.09059458412698412
0.7,9,gradient_boosting,0.0805,0.08114998188389237,0.27865519774331315,0.01,0.010577023588442853,0.0010336083211166525,0.07050000000000001,0.07057295829544952
0.7,9,mlp,0.07,0.07501669137141063,0.27865519774331315,0.0085,0.005922900896039202,0.0010336083211166525,0.061500000000000006,0.06909379047537144
0.9,0,logistic_regression,0.0875,0.10228845570727214,0.46730000314379294,0.0,0.0004441185104853748,0.0003001166577384362,0.0875,0.10184433719678677
0.9,0,rbf_svm,0.0875,0.09605699696112717,0.46730000314379294,0.0005,0.0024853927500385555,0.0003001166577384362,0.087,0.09357160421108861
0.9,0,random_forest,0.095,0.1100401484126984,0.46730000314379294,0.0005,0.002161769841269842,0.0003001166577384362,0.0945,0.10787837857142855
0.9,0,gradient_boosting,0.097,0.09974284691867262,0.46730000314379294,0.001,0.0012907137443177446,0.0003001166577384362,0.096,0.09845213317435487
0.9,0,mlp,0.092,0.10455571105730214,0.46730000314379294,0.001,0.0019454679063288106,0.0003001166577384362,0.091,0.10261024315097333
0.9,1,logistic_regression,0.081,0.09743779440747295,0.4670111406690559,0.001,0.001638401045582558,0.00014568650008595085,0.08,0.09579939336189039
0.9,1,rbf_svm,0.0865,0.09244028950210721,0.4670111406690559,0.002,0.00275797793448921,0.00014568650008595085,0.08449999999999999,0.089682311567618
0.9,1,random_forest,0.0885,0.10688752063492063,0.4670111406690559,0.0,0.0024386404761904783,0.00014568650008595085,0.0885,0.10444888015873015
0.9,1,gradient_boosting,0.0935,0.09500463330544555,0.4670111406690559,0.0045,0.004809938330117313,0.00014568650008595085,0.089,0.09019469497532824
0.9,1,mlp,0.0785,0.09545197230695686,0.4670111406690559,0.0015,0.0027737185642252886,0.00014568650008595085,0.077,0.09267825374273157
0.9,2,logistic_regression,0.095,0.11166935934345369,0.4773492914163757,0.001,0.001337321313068611,0.0010306740088690258,0.094,0.11033203803038508
0.9,2,rbf_svm,0.096,0.10524441101794471,0.4773492914163757,0.002,0.002013403418252278,0.0010306740088690258,0.094,0.10323100759969243
0.9,2,random_forest,0.111,0.12229555952380954,0.4773492914163757,0.0,0.0020713642857142864,0.0010306740088690258,0.111,0.12022419523809524
0.9,2,gradient_boosting,0.1125,0.11771018361837769,0.4773492914163757,0.0005,0.0014493231594115323,0.0010306740088690258,0.112,0.11626086045896616
0.9,2,mlp,0.0945,0.10528711702341428,0.4773492914163757,0.0015,0.0017061851476035002,0.0010306740088690258,0.093,0.10358093187581079
0.9,3,logistic_regression,0.091,0.10516036266730487,0.4871723101959943,0.0,5.251112879196019e-06,0.00038766512038701517,0.091,0.10515511155442568
0.9,3,rbf_svm,0.088,0.09832089629624885,0.4871723101959943,0.001,0.001970738617251308,0.00038766512038701517,0.087,0.09635015767899754
0.9,3,random_forest,0.098,0.11531092142857143,0.4871723101959943,0.001,0.0021405714285714283,0.00038766512038701517,0.097,0.11317035
0.9,3,gradient_boosting,0.1035,0.1047004682791361,0.4871723101959943,0.0025,0.002371310299446771,0.00038766512038701517,0.10099999999999999,0.10232915797968932
0.9,3,mlp,0.0955,0.1163157134586142,0.4871723101959943,0.0015,0.007566441372915206,0.00038766512038701517,0.094,0.108749272085699
0.9,4,logistic_regression,0.08,0.09509925658697153,0.4832341530334905,0.0005,0.0012387247048069184,0.0007554864096686043,0.0795,0.09386053188216462
0.9,4,rbf_svm,0.0795,0.08839261346968454,0.4832341530334905,0.0,0.0017703094647095474,0.0007554864096686043,0.0795,0.08662230400497499
0.9,4,random_forest,0.084,0.10689151428571429,0.4832341530334905,0.0005,0.0019407809523809532,0.0007554864096686043,0.0835,0.10495073333333334
0.9,4,gradient_boosting,0.0845,0.08712490511897568,0.4832341530334905,0.002,0.0011752751836254765,0.0007554864096686043,0.0825,0.0859496299353502
0.9,4,mlp,0.078,0.10090304994277122,0.4832341530334905,0.0005,0.003421994230932824,0.0007554864096686043,0.0775,0.09748105571183839
0.9,5,logistic_regression,0.09,0.1029746896358335,0.4790248635474672,0.0,0.000967677216291648,2.89178048383798e-05,0.09,0.10200701241954185
0.9,5,rbf_svm,0.0915,0.09813647721391754,0.4790248635474672,0.001,0.002880695533541573,2.89178048383798e-05,0.0905,0.09525578168037596
0.9,5,random_forest,0.098,0.11169649653679654,0.4790248635474672,0.0,0.002013392063492064,2.89178048383798e-05,0.098,0.10968310447330448
