rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,2,logistic_regression,all_features,ood,-0.3,-0.3,0.9136666666666666,0.9136696180719185,0.9761141569644924,0.06213232092604504,0.1983555611239348
0.0,2,logistic_regression,all_features,ood,-0.6,-0.6,0.9066666666666666,0.9067535353777895,0.9751590881097563,0.06423450613063339,0.20184902735406857
0.0,2,logistic_regression,all_features,ood,-0.9,-0.9,0.9073333333333333,0.9074753158433873,0.9749739464773504,0.06373882274715194,0.2028782400039776
0.0,2,logistic_regression,stable_only,iid_validation,0.0,,0.9025,0.9025653413836598,0.9692091014303134,0.06987082073310925,0.22514691466240241
0.0,2,logistic_regression,stable_only,iid_test,0.0,,0.9213333333333333,0.9213287490288872,0.9801172979863076,0.055343998937175135,0.18048921465555456
0.0,2,logistic_regression,stable_only,ood,0.3,0.3,0.914,0.9136596033401064,0.9780415963984691,0.05914201311779103,0.19013156799680836
0.0,2,logistic_regression,stable_only,ood,-0.3,-0.3,0.913,0.9130027510487595,0.9765627361820706,0.06150829789861247,0.1965558171378885
0.0,2,logistic_regression,stable_only,ood,-0.6,-0.6,0.907,0.9070943670069647,0.9759327959176686,0.06315691750491778,0.1987778830804206
0.0,2,logistic_regression,stable_only,ood,-0.9,-0.9,0.9103333333333333,0.9104950347143183,0.9761419090029593,0.062130937705342365,0.19837363908744013
0.0,2,rbf_svm,all_features,iid_validation,0.0,,0.8975,0.8975298861370936,0.9658251234606803,0.07267258368161619,0.23892966818346328
0.0,2,rbf_svm,all_features,iid_test,0.0,,0.9203333333333333,0.9203309694772791,0.9775981823967687,0.05752133946446825,0.1914463108654251
0.0,2,rbf_svm,all_features,ood,0.3,0.3,0.9143333333333333,0.9140625139126579,0.9755266330566532,0.061114196633516776,0.2005557896273038
0.0,2,rbf_svm,all_features,ood,-0.3,-0.3,0.905,0.9049656696856478,0.9722467728081859,0.0663457245265008,0.21406517801573804
0.0,2,rbf_svm,all_features,ood,-0.6,-0.6,0.9,0.9001863568633885,0.9714915352363878,0.06825445566037916,0.21745247793170586
0.0,2,rbf_svm,all_features,ood,-0.9,-0.9,0.9036666666666666,0.9037886979285226,0.9727531726610518,0.06610305113946602,0.21231689967422865
0.0,2,rbf_svm,stable_only,iid_validation,0.0,,0.898,0.8980895478793371,0.9669274420307468,0.07144259481926608,0.23521738377025936
0.0,2,rbf_svm,stable_only,iid_test,0.0,,0.919,0.9189994115545095,0.9783932949214131,0.0564710174512888,0.18871853937723737
0.0,2,rbf_svm,stable_only,ood,0.3,0.3,0.9133333333333333,0.9128813849082611,0.9766151594101211,0.060674669503221895,0.19868607378625053
0.0,2,rbf_svm,stable_only,ood,-0.3,-0.3,0.913,0.9129102788215482,0.9757180379527359,0.061893566430332926,0.20206642383927093
0.0,2,rbf_svm,stable_only,ood,-0.6,-0.6,0.907,0.9071090407757354,0.9740607787502484,0.06570233971680248,0.21013424427629498
0.0,2,rbf_svm,stable_only,ood,-0.9,-0.9,0.9063333333333333,0.9064811916685636,0.9747022962667881,0.06396262889401379,0.20645043106958152
0.0,2,random_forest,all_features,iid_validation,0.0,,0.8965,0.8965295970535485,0.9624966615351837,0.07598261114458428,0.25018111155814676
0.0,2,random_forest,all_features,iid_test,0.0,,0.9136666666666666,0.9136642909587396,0.9743683988771537,0.06305575430953331,0.21321814354620525
0.0,2,random_forest,all_features,ood,0.3,0.3,0.909,0.9085820397158524,0.9726572864930129,0.06508059436447299,0.22026624990204421
0.0,2,random_forest,all_features,ood,-0.3,-0.3,0.9076666666666666,0.9076215787498823,0.9699545285605808,0.06909382486517095,0.2297038798162132
0.0,2,random_forest,all_features,ood,-0.6,-0.6,0.893,0.8930582401882512,0.9660368951906055,0.07423140196267379,0.24239749239014366
0.0,2,random_forest,all_features,ood,-0.9,-0.9,0.8966666666666666,0.8967053408832233,0.9686188431880264,0.07091936207775061,0.2338771921768363
0.0,2,random_forest,stable_only,iid_validation,0.0,,0.8975,0.897495876308253,0.9627547361187383,0.07578014746430915,0.2484112585586251
0.0,2,random_forest,stable_only,iid_test,0.0,,0.9173333333333333,0.9173305196987016,0.974667732742636,0.06219589292269332,0.21039930324649822
0.0,2,random_forest,stable_only,ood,0.3,0.3,0.9096666666666666,0.909249847294667,0.971426071920205,0.06617372077922423,0.2223267946996123
