rho_train,dataset_seed,reference_fit_id,bridge_fit_id,reference_fidelity,mlpl_fidelity,delta_fidelity_ref_minus_mlpl,delta_fidelity_mlpl_minus_ref,reference_d3,mlpl_d3,delta_d3_ref_minus_mlpl,reference_ood_gap,mlpl_ood_gap,delta_ood_gap_ref_minus_mlpl,reference_iid_accuracy,mlpl_iid_accuracy
0.9,7,rho0p9_seed07_width64_constant,rho0p9_seed07_mlp_l,0.98875,0.93775,0.051000000000000045,-0.051000000000000045,0.7123333333333334,0.503,0.20933333333333337,0.4262,0.3144,0.11180000000000001,0.995,0.989
0.9,8,rho0p9_seed08_width64_constant,rho0p9_seed08_mlp_l,0.97175,0.95425,0.01749999999999996,-0.01749999999999996,0.702,0.617,0.08499999999999996,0.4206,0.373,0.047599999999999976,0.9943333333333333,0.9923333333333333
0.9,9,rho0p9_seed09_width64_constant,rho0p9_seed09_mlp_l,0.97425,0.94775,0.026499999999999968,-0.026499999999999968,0.7346666666666667,0.7473333333333333,-0.012666666666666604,0.4320666666666667,0.4390666666666666,-0.006999999999999895,0.993,0.9933333333333333
0.9,10,rho0p9_seed10_width64_constant,rho0p9_seed10_mlp_l,0.9585,0.91975,0.03875000000000006,-0.03875000000000006,0.766,0.5033333333333333,0.2626666666666667,0.4528,0.313,0.13979999999999998,0.9943333333333333,0.984
0.9,11,rho0p9_seed11_width64_constant,rho0p9_seed11_mlp_l,0.97275,0.9415,0.03125,-0.03125,0.7066666666666667,0.5343333333333333,0.17233333333333334,0.4221333333333333,0.3275999999999999,0.09453333333333341,0.9943333333333333,0.9903333333333333
0.9,12,rho0p9_seed12_width64_constant,rho0p9_seed12_mlp_l,0.98025,0.986,-0.005750000000000033,0.005750000000000033,0.7666666666666667,0.5856666666666667,0.18100000000000005,0.4471333333333334,0.3476,0.09953333333333336,0.9923333333333333,0.9913333333333333
0.9,13,rho0p9_seed13_width64_constant,rho0p9_seed13_mlp_l,0.97225,0.97075,0.0014999999999999458,-0.0014999999999999458,0.7606666666666667,0.44266666666666665,0.31800000000000006,0.4438,0.2768666666666667,0.16693333333333327,0.9943333333333333,0.9906666666666667
0.9,14,rho0p9_seed14_width64_constant,rho0p9_seed14_mlp_l,0.96675,0.95775,0.009000000000000008,-0.009000000000000008,0.7193333333333334,0.6946666666666667,0.024666666666666726,0.4364,0.41946666666666665,0.016933333333333356,0.9923333333333333,0.993
0.9,15,rho0p9_seed15_width64_constant,rho0p9_seed15_mlp_l,0.98725,0.979,0.00824999999999998,-0.00824999999999998,0.746,0.6133333333333333,0.1326666666666667,0.44799999999999995,0.3763333333333333,0.07166666666666666,0.9943333333333333,0.9933333333333333
0.9,16,rho0p9_seed16_width64_constant,rho0p9_seed16_mlp_l,0.97925,0.96075,0.01849999999999996,-0.01849999999999996,0.721,0.596,0.125,0.4273999999999999,0.3562,0.07119999999999987,0.9953333333333333,0.993
