seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss
3,random_forest,all_features,0.3,0.6896666666666667,0.6895907392621072,1.339479725022858
3,random_forest,all_features,0.0,0.5756666666666667,0.5754805742702457,2.063217126178327
3,random_forest,all_features,-0.3,0.44966666666666666,0.44964212315372526,2.698766276178983
3,random_forest,all_features,-0.6,0.29933333333333334,0.2998611154964954,3.3045524870572907
3,random_forest,all_features,-0.9,0.05466666666666667,0.05467157985403549,4.548445088171117
3,gradient_boosting,all_features,0.9,0.9893333333333333,0.9892658961156386,0.04962732528824422
3,gradient_boosting,all_features,0.6,0.8523333333333334,0.8524260206700774,1.0270925598996608
3,gradient_boosting,all_features,0.3,0.7203333333333334,0.7205324799806521,2.084682133116407
3,gradient_boosting,all_features,0.0,0.6066666666666667,0.6063310591131252,2.9936658171879076
3,gradient_boosting,all_features,-0.3,0.4756666666666667,0.47560019484998683,4.053750050909605
3,gradient_boosting,all_features,-0.6,0.348,0.3488700458189894,5.178249022435415
3,gradient_boosting,all_features,-0.9,0.09533333333333334,0.09535426460189539,7.2947752759950575
3,mlp,all_features,0.9,0.9856666666666667,0.9854724859405777,0.3061512278171001
3,mlp,all_features,0.6,0.8843333333333333,0.8845711778957376,0.40937319146606355
3,mlp,all_features,0.3,0.7703333333333333,0.7711601352228492,0.5123578913044567
3,mlp,all_features,0.0,0.6803333333333333,0.6790139156665078,0.5990900869205924
3,mlp,all_features,-0.3,0.573,0.5726625112892101,0.70172448494475
3,mlp,all_features,-0.6,0.4646666666666667,0.46718736867009303,0.7996944118916187
3,mlp,all_features,-0.9,0.2773333333333333,0.27739256773003007,0.8986159915632612
3,logistic_regression,stable_only,0.9,0.9123333333333333,0.912339485205767,0.19432168342143638
3,logistic_regression,stable_only,0.6,0.9086666666666666,0.9086513781162788,0.21193291612781626
3,logistic_regression,stable_only,0.3,0.9066666666666666,0.9064652313317245,0.20705799975822178
3,logistic_regression,stable_only,0.0,0.9096666666666666,0.9099029958523346,0.20159941189238176
3,logistic_regression,stable_only,-0.3,0.9046666666666666,0.9046248426621912,0.21643310365839558
3,logistic_regression,stable_only,-0.6,0.914,0.9139805508329291,0.1879967704224106
3,logistic_regression,stable_only,-0.9,0.9156666666666666,0.9156632958503537,0.19462325174338055
3,rbf_svm,stable_only,0.9,0.913,0.9130342880537918,0.20324188240364324
3,rbf_svm,stable_only,0.6,0.908,0.9079806873047429,0.2232593529257296
3,rbf_svm,stable_only,0.3,0.9036666666666666,0.9033891960428999,0.2167739452269928
3,rbf_svm,stable_only,0.0,0.9106666666666666,0.9109532516131786,0.21311440463562886
3,rbf_svm,stable_only,-0.3,0.903,0.9029634620718101,0.23092036571509558
3,rbf_svm,stable_only,-0.6,0.914,0.9139147330086617,0.19683322694686517
3,rbf_svm,stable_only,-0.9,0.9133333333333333,0.9133266281451681,0.2042754559835408
3,random_forest,stable_only,0.9,0.9033333333333333,0.9033517236044931,0.22417839193819433
3,random_forest,stable_only,0.6,0.9023333333333333,0.9023318172787553,0.2385684462849382
3,random_forest,stable_only,0.3,0.9006666666666666,0.9005096642368997,0.23393423787040366
3,random_forest,stable_only,0.0,0.9076666666666666,0.9078451704242286,0.23345534680904476
3,random_forest,stable_only,-0.3,0.8956666666666667,0.8956263644832564,0.24628707530442326
3,random_forest,stable_only,-0.6,0.9086666666666666,0.908627516030865,0.2209123901016688
3,random_forest,stable_only,-0.9,0.9036666666666666,0.9036601794045241,0.22364888323538132
3,gradient_boosting,stable_only,0.9,0.8983333333333333,0.898318070341787,0.2466320657228729
3,gradient_boosting,stable_only,0.6,0.8963333333333333,0.8963396015589895,0.2633215895487239
3,gradient_boosting,stable_only,0.3,0.8963333333333333,0.8961808081005671,0.2702550743395304
3,gradient_boosting,stable_only,0.0,0.9043333333333333,0.9043538036866556,0.2564415983628205
3,gradient_boosting,stable_only,-0.3,0.8956666666666667,0.8956050305430909,0.27568917857122893
3,gradient_boosting,stable_only,-0.6,0.9023333333333333,0.9023150085540936,0.24562665905229433
3,gradient_boosting,stable_only,-0.9,0.9016666666666666,0.9016619562942028,0.2533988290720292
3,mlp,stable_only,0.9,0.913,0.9130436232168171,0.19544691232427075
3,mlp,stable_only,0.6,0.907,0.9069666507994287,0.21375614351008104
3,mlp,stable_only,0.3,0.9063333333333333,0.9060682231639372,0.21060829752246416
3,mlp,stable_only,0.0,0.911,0.9113365371618016,0.20471478045510633
3,mlp,stable_only,-0.3,0.9023333333333333,0.9023003320983352,0.22030359871227007
3,mlp,stable_only,-0.6,0.917,0.916875423313118,0.18875398560971332
3,mlp,stable_only,-0.9,0.9126666666666666,0.912658627848279,0.19703981714067617
4,logistic_regression,all_features,0.9,0.994,0.9940088136277374,0.019118737560330126
4,logistic_regression,all_features,0.6,0.8906666666666667,0.89053552905775,0.3445989230282372
4,logistic_regression,all_features,0.3,0.7826666666666666,0.7825473534855686,0.9024330038672721
4,logistic_regression,all_features,0.0,0.685,0.6848492378874855,1.6533796638078262
4,logistic_regression,all_features,-0.3,0.571,0.5709337600426709,2.2690132513636687
4,logistic_regression,all_features,-0.6,0.444,0.44444577932089496,2.9473029919870344
4,logistic_regression,all_features,-0.9,0.251,0.2509017568423509,3.319713917235466
4,rbf_svm,all_features,0.9,0.9933333333333333,0.9933522148096152,0.01868166659796484
4,rbf_svm,all_features,0.6,0.8903333333333333,0.8901827305228309,0.4322971627972811
4,rbf_svm,all_features,0.3,0.79,0.7900017602534765,0.9857883894928631
4,rbf_svm,all_features,0.0,0.6913333333333334,0.6910460281550641,1.6046844940952858
